国家/地区,点击次数,展示,点击率,排名
印度,50,3463,1.44%,22.79
美国,43,5282,0.81%,48.35
菲律宾,33,1350,2.44%,22.96
巴基斯坦,9,938,0.96%,19.45
波兰,9,334,2.69%,34.36
泰国,9,276,3.26%,33.71
印度尼西亚,8,590,1.36%,45.41
俄罗斯,6,2008,0.3%,53.83
孟加拉,6,344,1.74%,30.94
法国,6,327,1.83%,52.66
伊朗,6,169,3.55%,23.33
巴西,5,665,0.75%,52.42
加拿大,5,430,1.16%,47.55
德国,5,412,1.21%,47
南非,5,351,1.42%,19.23
澳大利亚,5,344,1.45%,30.67
英国,4,1251,0.32%,48.96
越南,4,440,0.91%,47.18
土耳其,4,419,0.95%,49.92
罗马尼亚,4,248,1.61%,44.12
西班牙,4,210,1.9%,49.38
加纳,4,202,1.98%,10.31
新西兰,4,150,2.67%,21.8
赞比亚,4,59,6.78%,12.53
韩国,3,515,0.58%,51.81
意大利,3,447,0.67%,36.7
马来西亚,3,400,0.75%,34.3
墨西哥,3,296,1.01%,39.93
缅甸,3,216,1.39%,9.71
伊拉克,3,176,1.7%,43.62
摩洛哥,3,128,2.34%,36.02
喀麦隆,3,34,8.82%,9.18
黎巴嫩,3,33,9.09%,14.12
尼日利亚,2,356,0.56%,11.07
肯尼亚,2,294,0.68%,11.96
埃及,2,272,0.74%,41.86
阿根廷,2,247,0.81%,53.52
新加坡,2,192,1.04%,35.32
阿拉伯联合酋长国,2,173,1.16%,23.59
荷兰,2,171,1.17%,44.03
斯里兰卡,2,163,1.23%,13.98
尼泊尔,2,153,1.31%,20.03
阿尔及利亚,2,129,1.55%,28.87
乌干达,2,99,2.02%,14.3
以色列,2,92,2.17%,35.13
塞尔维亚,2,89,2.25%,32.08
葡萄牙,2,80,2.5%,31.2
瑞士,2,62,3.23%,33.66
斯洛伐克,2,52,3.85%,23.4
厄瓜多尔,2,48,4.17%,43.92
芬兰,2,46,4.35%,30.17
中国,2,42,4.76%,16.19
